Common name 	Scientific name 	Status 	No. 	No. Back
Common Ostrich 	Struthio camelus 		5 	0
Somali Ostrich 	Struthio molybdophanes 		1 	0
White-faced Whistling Duck 	Dendrocygna viduata 		113 	33
Black-bellied Whistling Duck 	Dendrocygna autumnalis 		181 	68
Fulvous Whistling Duck 	Dendrocygna bicolor 		51 	7
Lesser Whistling Duck 	Dendrocygna javanica 		39 	5
White-backed Duck 	Thalassornis leuconotus 		0 	0
Brant Goose 	Branta bernicla 		126 	23
Red-breasted Goose 	Branta ruficollis 		6 	1
Barnacle Goose 	Branta leucopsis 		234 	114
Snow Goose 	Anser caerulescens 		110 	43
Greylag Goose 	Anser anser 		475 	1378
Taiga Bean Goose 	Anser fabalis 		87 	21
Greater White-fronted Goose 	Anser albifrons 		257 	116
Lesser White-fronted Goose 	Anser erythropus 		18 	1
Mute Swan 	Cygnus olor 		272 	112
Tundra Swan 	Cygnus columbianus 		113 	40
Whooper Swan 	Cygnus cygnus 		327 	208
Spur-winged Goose 	Plectropterus gambensis 		12 	2
Knob-billed Duck 	Sarkidiornis melanotos 		1 	0
Blue-winged Goose 	Cyanochen cyanoptera 		8 	0
Egyptian Goose 	Alopochen aegyptiaca 		160 	129
Common Shelduck 	Tadorna tadorna 		197 	188
Ruddy Shelduck 	Tadorna ferruginea 		127 	79
South African Shelduck 	Tadorna cana 		20 	9
Hartlaub's Duck 	Pteronetta hartlaubii 		1 	0
Mandarin Duck 	Aix galericulata 		73 	1
African Pygmy Goose 	Nettapus auritus 		12 	0
Cotton Pygmy Goose 	Nettapus coromandelianus 		6 	1
Garganey 	Spatula querquedula 		97 	22
Hottentot Teal 	Spatula hottentota 		3 	0
Blue-winged Teal 	Spatula discors 		76 	20
Cape Shoveler 	Spatula smithii 		9 	0
Northern Shoveler 	Spatula clypeata 		108 	141
Gadwall 	Mareca strepera 		194 	198
Eurasian Wigeon 	Mareca penelope 		259 	165
American Wigeon 	Mareca americana 		65 	30
African Black Duck 	Anas sparsa 		7 	2
Yellow-billed Duck 	Anas undulata 		30 	9
Meller's Duck 	Anas melleri 		4 	0
Mallard 	Anas platyrhynchos 		561 	1174
Cape Teal 	Anas capensis 		4 	0
Red-billed Teal 	Anas erythrorhyncha 		5 	1
Northern Pintail 	Anas acuta 		80 	76
Eurasian Teal 	Anas crecca 		328 	230
Bernier's Teal 	Anas bernieri 		1 	0
Marbled Duck 	Marmaronetta angustirostris 		5 	0
Red-crested Pochard 	Netta rufina 		41 	25
Southern Pochard 	Netta erythrophthalma 		6 	0
Common Pochard 	Aythya ferina 		76 	10
Madagascan Pochard 	Aythya innotata 		4 	0
Ferruginous Duck 	Aythya nyroca 		14 	0
Ring-necked Duck 	Aythya collaris 		34 	1
Tufted Duck 	Aythya fuligula 		122 	39
Greater Scaup 	Aythya marila 		22 	0
Lesser Scaup 	Aythya affinis 		8 	1
Common Eider 	Somateria mollissima 		102 	72
Velvet Scoter 	Melanitta fusca 		19 	4
Common Scoter 	Melanitta nigra 		167 	12
Long-tailed Duck 	Clangula hyemalis 		95 	34
Common Goldeneye 	Bucephala clangula 		132 	43
Smew 	Mergellus albellus 		16 	1
Common Merganser 	Mergus merganser 		124 	15
Red-breasted Merganser 	Mergus serrator 		49 	14
Ruddy Duck 	Oxyura jamaicensis 		30 	10
Maccoa Duck 	Oxyura maccoa 		3 	0
White-headed Duck 	Oxyura leucocephala 		5 	3
White-breasted Guineafowl 	Agelastes meleagrides 		1 	0
Black Guineafowl 	Agelastes niger 		0 	0
Helmeted Guineafowl 	Numida meleagris 		87 	108
Plumed Guineafowl 	Guttera plumifera 		4 	0
Crested Guineafowl 	Guttera pucherani 		10 	2
Vulturine Guineafowl 	Acryllium vulturinum 		3 	0
Stone Partridge 	Ptilopachus petrosus 		35 	10
Nahan's Partridge 	Ptilopachus nahani 		2 	0
Chukar Partridge 	Alectoris chukar 		51 	26
Philby's Partridge 	Alectoris philbyi 		2 	0
Barbary Partridge 	Alectoris barbara 		17 	0
Arabian Partridge 	Alectoris melanocephala 		7 	4
Sand Partridge 	Ammoperdix heyi 		7 	2
Grey Francolin 	Francolinus pondicerianus 		55 	29
Latham's Francolin 	Peliperdix lathami 		8 	0
Coqui Francolin 	Peliperdix coqui 		22 	2
White-throated Francolin 	Peliperdix albogularis 		11 	0
Schlegel's Francolin 	Peliperdix schlegelii 		0 	0
Ring-necked Francolin 	Scleroptila streptophora 		0 	0
Grey-winged Francolin 	Scleroptila afra 		13 	3
Red-winged Francolin 	Scleroptila levaillantii 		23 	2
Finsch's Francolin 	Scleroptila finschi 		0 	0
