Common name 	Scientific name 	Status 	No. 	No. Back
Greater Rhea 	Rhea americana 		22 	1
Lesser Rhea 	Rhea pennata 		4 	0
Grey Tinamou 	Tinamus tao 		55 	82
Solitary Tinamou 	Tinamus solitarius 		56 	41
Black Tinamou 	Tinamus osgoodi 		11 	1
Great Tinamou 	Tinamus major 		108 	265
White-throated Tinamou 	Tinamus guttatus 		47 	367
Highland Tinamou 	Nothocercus bonapartei 		40 	17
Tawny-breasted Tinamou 	Nothocercus julius 		50 	9
Hooded Tinamou 	Nothocercus nigrocapillus 		14 	5
Berlepsch's Tinamou 	Crypturellus berlepschi 		9 	0
Cinereous Tinamou 	Crypturellus cinereus 		220 	292
Little Tinamou 	Crypturellus soui 		317 	432
Tepui Tinamou 	Crypturellus ptaritepui 		2 	0
Brown Tinamou 	Crypturellus obsoletus 		181 	166
Undulated Tinamou 	Crypturellus undulatus 		170 	708
Pale-browed Tinamou 	Crypturellus transfasciatus 		31 	130
Brazilian Tinamou 	Crypturellus strigulosus 		64 	140
Grey-legged Tinamou 	Crypturellus duidae 		11 	5
Red-legged Tinamou 	Crypturellus erythropus 		32 	12
Yellow-legged Tinamou 	Crypturellus noctivagus 		43 	69
Black-capped Tinamou 	Crypturellus atrocapillus 		29 	46
Thicket Tinamou 	Crypturellus cinnamomeus 		46 	38
Slaty-breasted Tinamou 	Crypturellus boucardi 		23 	18
Choco Tinamou 	Crypturellus kerriae 		7 	0
Variegated Tinamou 	Crypturellus variegatus 		71 	95
Rusty Tinamou 	Crypturellus brevirostris 		7 	0
Bartlett's Tinamou 	Crypturellus bartletti 		40 	83
Small-billed Tinamou 	Crypturellus parvirostris 		73 	48
Barred Tinamou 	Crypturellus casiquiare 		3 	0
Tataupa Tinamou 	Crypturellus tataupa 		101 	84
Red-winged Tinamou 	Rhynchotus rufescens 		63 	125
Huayco Tinamou 	Rhynchotus maculicollis 		10 	6
Taczanowski's Tinamou 	Nothoprocta taczanowskii 		7 	1
Ornate Tinamou 	Nothoprocta ornata 		12 	0
Chilean Tinamou 	Nothoprocta perdicaria 		10 	1
Brushland Tinamou 	Nothoprocta cinerascens 		22 	4
Andean Tinamou 	Nothoprocta pentlandii 		35 	3
Curve-billed Tinamou 	Nothoprocta curvirostris 		5 	0
White-bellied Nothura 	Nothura boraquira 		24 	7
Lesser Nothura 	Nothura minor 		8 	0
Darwin's Nothura 	Nothura darwinii 		19 	7
Spotted Nothura 	Nothura maculosa 		66 	23
Dwarf Tinamou 	Taoniscus nanus 		38 	1
Elegant Crested Tinamou 	Eudromia elegans 		14 	1
Quebracho Crested Tinamou 	Eudromia formosa 		8 	0
Puna Tinamou 	Tinamotis pentlandii 		11 	0
Patagonian Tinamou 	Tinamotis ingoufi 		1 	0
Horned Screamer 	Anhima cornuta 		71 	26
Northern Screamer 	Chauna chavaria 		13 	1
Southern Screamer 	Chauna torquata 		79 	43
White-faced Whistling Duck 	Dendrocygna viduata 		113 	33
Black-bellied Whistling Duck 	Dendrocygna autumnalis 		181 	68
West Indian Whistling Duck 	Dendrocygna arborea 		10 	2
Fulvous Whistling Duck 	Dendrocygna bicolor 		51 	7
Brant Goose 	Branta bernicla 		126 	23
Canada Goose 	Branta canadensis 		363 	964
Barnacle Goose 	Branta leucopsis 		234 	114
Cackling Goose 	Branta hutchinsii 		46 	17
Bar-headed Goose 	Anser indicus 		35 	18
Emperor Goose 	Anser canagicus 		7 	0
Ross's Goose 	Anser rossii 		33 	2
Snow Goose 	Anser caerulescens 		110 	43
Greylag Goose 	Anser anser 		475 	1378
Swan Goose 	Anser cygnoides 		24 	16
Taiga Bean Goose 	Anser fabalis 		87 	21
Pink-footed Goose 	Anser brachyrhynchus 		227 	67
Tundra Bean Goose 	Anser serrirostris 		56 	26
Greater White-fronted Goose 	Anser albifrons 		257 	116
Lesser White-fronted Goose 	Anser erythropus 		18 	1
Coscoroba Swan 	Coscoroba coscoroba 		29 	9
Black Swan 	Cygnus atratus 		22 	6
Black-necked Swan 	Cygnus melancoryphus 		16 	1
Mute Swan 	Cygnus olor 		272 	112
Trumpeter Swan 	Cygnus buccinator 		58 	11
Tundra Swan 	Cygnus columbianus 		113 	40
Whooper Swan 	Cygnus cygnus 		327 	208
Flying Steamer Duck 	Tachyeres patachonicus 		17 	2
Fuegian Steamer Duck 	Tachyeres pteneres 		7 	0
Torrent Duck 	Merganetta armata 		6 	0
Comb Duck 	Sarkidiornis sylvicola 		3 	0
Knob-billed Duck 	Sarkidiornis melanotos 		1 	0
Egyptian Goose 	Alopochen aegyptiaca 		160 	129
Orinoco Goose 	Neochen jubata 		28 	3
Andean Goose 	Chloephaga melanoptera 		46 	1
Upland Goose 	Chloephaga picta 		27 	1
Kelp Goose 	Chloephaga hybrida 		7 	3
Ashy-headed Goose 	Chloephaga poliocephala 		6 	1
Ruddy-headed Goose 	Chloephaga rubidiceps 		10 	0
Common Shelduck 	Tadorna tadorna 		197 	188
Ruddy Shelduck 	Tadorna ferruginea 		127 	79
Muscovy Duck 	Cairina moschata 		27 	4
Wood Duck 	Aix sponsa 		66 	33
Brazilian Teal 	Amazonetta brasiliensis 		49 	4
