Common name 	Scientific name 	Status 	No. 	No. Back
Southern Cassowary 	Casuarius casuarius 		20 	0
Dwarf Cassowary 	Casuarius bennetti 		1 	0
Northern Cassowary 	Casuarius unappendiculatus 		6 	1
Spotted Whistling Duck 	Dendrocygna guttata 		6 	2
Fulvous Whistling Duck 	Dendrocygna bicolor 		51 	7
Plumed Whistling Duck 	Dendrocygna eytoni 		11 	5
Wandering Whistling Duck 	Dendrocygna arcuata 		19 	6
Lesser Whistling Duck 	Dendrocygna javanica 		39 	5
Brant Goose 	Branta bernicla 		126 	23
Red-breasted Goose 	Branta ruficollis 		6 	1
Canada Goose 	Branta canadensis 		363 	964
Barnacle Goose 	Branta leucopsis 		234 	114
Cackling Goose 	Branta hutchinsii 		46 	17
Bar-headed Goose 	Anser indicus 		35 	18
Emperor Goose 	Anser canagicus 		7 	0
Ross's Goose 	Anser rossii 		33 	2
Snow Goose 	Anser caerulescens 		110 	43
Greylag Goose 	Anser anser 		475 	1378
Swan Goose 	Anser cygnoides 		24 	16
Taiga Bean Goose 	Anser fabalis 		87 	21
Pink-footed Goose 	Anser brachyrhynchus 		227 	67
Tundra Bean Goose 	Anser serrirostris 		56 	26
Greater White-fronted Goose 	Anser albifrons 		257 	116
Lesser White-fronted Goose 	Anser erythropus 		18 	1
Black Swan 	Cygnus atratus 		22 	6
Mute Swan 	Cygnus olor 		272 	112
Trumpeter Swan 	Cygnus buccinator 		58 	11
Tundra Swan 	Cygnus columbianus 		113 	40
Whooper Swan 	Cygnus cygnus 		327 	208
Knob-billed Duck 	Sarkidiornis melanotos 		1 	0
Egyptian Goose 	Alopochen aegyptiaca 		160 	129
Raja Shelduck 	Radjah radjah 		13 	0
Common Shelduck 	Tadorna tadorna 		197 	188
Ruddy Shelduck 	Tadorna ferruginea 		127 	79
Salvadori's Teal 	Salvadorina waigiuensis 		2 	0
White-winged Duck 	Asarcornis scutulata 		4 	0
Mandarin Duck 	Aix galericulata 		73 	1
Cotton Pygmy Goose 	Nettapus coromandelianus 		6 	1
Green Pygmy Goose 	Nettapus pulchellus 		3 	0
Baikal Teal 	Sibirionetta formosa 		5 	0
Garganey 	Spatula querquedula 		97 	22
Northern Shoveler 	Spatula clypeata 		108 	141
Gadwall 	Mareca strepera 		194 	198
Falcated Duck 	Mareca falcata 		20 	7
Eurasian Wigeon 	Mareca penelope 		259 	165
American Wigeon 	Mareca americana 		65 	30
Pacific Black Duck 	Anas superciliosa 		15 	4
Philippine Duck 	Anas luzonica 		4 	0
Indian Spot-billed Duck 	Anas poecilorhyncha 		20 	3
Eastern Spot-billed Duck 	Anas zonorhyncha 		25 	14
Mallard 	Anas platyrhynchos 		561 	1174
American Black Duck 	Anas rubripes 		16 	2
Northern Pintail 	Anas acuta 		80 	76
Eurasian Teal 	Anas crecca 		328 	230
Green-winged Teal 	Anas carolinensis 		51 	25
Sunda Teal 	Anas gibberifrons 		8 	0
Andaman Teal 	Anas albogularis 		5 	1
Grey Teal 	Anas gracilis 		14 	3
Marbled Duck 	Marmaronetta angustirostris 		5 	0
Red-crested Pochard 	Netta rufina 		41 	25
Canvasback 	Aythya valisineria 		10 	1
Redhead 	Aythya americana 		17 	2
Common Pochard 	Aythya ferina 		76 	10
Hardhead 	Aythya australis 		1 	0
Baer's Pochard 	Aythya baeri 		1 	0
Ferruginous Duck 	Aythya nyroca 		14 	0
Ring-necked Duck 	Aythya collaris 		34 	1
Tufted Duck 	Aythya fuligula 		122 	39
Greater Scaup 	Aythya marila 		22 	0
Lesser Scaup 	Aythya affinis 		8 	1
Steller's Eider 	Polysticta stelleri 		6 	0
Spectacled Eider 	Somateria fischeri 		7 	0
King Eider 	Somateria spectabilis 		16 	1
Common Eider 	Somateria mollissima 		102 	72
Harlequin Duck 	Histrionicus histrionicus 		32 	1
Surf Scoter 	Melanitta perspicillata 		20 	1
Velvet Scoter 	Melanitta fusca 		19 	4
White-winged Scoter 	Melanitta deglandi 		1 	0
Common Scoter 	Melanitta nigra 		167 	12
Black Scoter 	Melanitta americana 		26 	10
Long-tailed Duck 	Clangula hyemalis 		95 	34
Bufflehead 	Bucephala albeola 		17 	0
Common Goldeneye 	Bucephala clangula 		132 	43
Barrow's Goldeneye 	Bucephala islandica 		35 	1
Smew 	Mergellus albellus 		16 	1
Common Merganser 	Mergus merganser 		124 	15
Red-breasted Merganser 	Mergus serrator 		49 	14
Scaly-sided Merganser 	Mergus squamatus 		2 	0
White-headed Duck 	Oxyura leucocephala 		5 	3
Wattled Brushturkey 	Aepypodius arfakianus 		1 	0
Waigeo Brushturkey 	Aepypodius bruijnii 		0 	0
Red-billed Brushturkey 	Talegalla cuvieri 		4 	1
Black-billed Brushturkey 	Talegalla fuscirostris 		19 	1
Collared Brushturkey 	Talegalla jobiensis 		18 	3
Maleo 	Macrocephalon maleo 		7 	1
Moluccan Megapode 	Eulipoa wallacei 		6 	0
Nicobar Megapode 	Megapodius nicobariensis 		2 	0
Philippine Megapode 	Megapodius cumingii 		15 	5
Sula Megapode 	Megapodius bernsteinii 		5 	0
Tanimbar Megapode 	Megapodius tenimberensis 		1 	0
Dusky Megapode 	Megapodius freycinet 		40 	15
Biak Scrubfowl 	Megapodius geelvinkianus 		9 	0
New Guinea Scrubfowl 	Megapodius decollatus 		6 	0
Orange-footed Scrubfowl 	Megapodius reinwardt 		52 	26
Hazel Grouse 	Tetrastes bonasia 		174 	16
Chinese Grouse 	Tetrastes sewerzowi 		1 	0
Siberian Grouse 	Falcipennis falcipennis 		1 	0
Western Capercaillie 	Tetrao urogallus 		80 	7
Black-billed Capercaillie 	Tetrao urogalloides 		15 	0
Black Grouse 	Lyrurus tetrix 		141 	140
Caucasian Grouse 	Lyrurus mlokosiewiczi 		1 	0
Rock Ptarmigan 	Lagopus muta 		56 	9
Willow Ptarmigan 	Lagopus lagopus 		99 	54
Snow Partridge 	Lerwa lerwa 		11 	0
Verreaux's Monal-Partridge 	Tetraophasis obscurus 		15 	0
Szechenyi's Monal-Partridge 	Tetraophasis szechenyii 		10 	0
Caucasian Snowcock 	Tetraogallus caucasicus 		9 	2
Caspian Snowcock 	Tetraogallus caspius 		12 	1
Himalayan Snowcock 	Tetraogallus himalayensis 		9 	1
Tibetan Snowcock 	Tetraogallus tibetanus 		16 	1
Altai Snowcock 	Tetraogallus altaicus 		18 	9
Rock Partridge 	Alectoris graeca 		37 	0
Chukar Partridge 	Alectoris chukar 		51 	26
Przevalski's Partridge 	Alectoris magna 		11 	0
Philby's Partridge 	Alectoris philbyi 		2 	0
Arabian Partridge 	Alectoris melanocephala 		7 	4
See-see Partridge 	Ammoperdix griseogularis 		3 	1
Sand Partridge 	Ammoperdix heyi 		7 	2
Black Francolin 	Francolinus francolinus 		56 	15
Painted Francolin 	Francolinus pictus 		15 	3
Chinese Francolin 	Francolinus pintadeanus 		33 	13
Grey Francolin 	Francolinus pondicerianus 		55 	29
Swamp Francolin 	Francolinus gularis 		7 	1
Grey Partridge 	Perdix perdix 		237 	49
Daurian Partridge 	Perdix dauurica 		4 	0
Tibetan Partridge 	Perdix hodgsoniae 		11 	0
Long-billed Partridge 	Rhizothera longirostris 		13 	0
Hose's Partridge 	Rhizothera dulitensis 		0 	0
Black Partridge 	Melanoperdix niger 		3 	0
Common Quail 	Coturnix coturnix 		481 	196
Japanese Quail 	Coturnix japonica 		45 	12
Rain Quail 	Coturnix coromandelica 		18 	0
Brown Quail 	Coturnix ypsilophora 		11 	1
King Quail 	Excalfactoria chinensis 		7 	0
Snow Mountain Quail 	Anurophasis monorthonyx 		3 	0
Jungle Bush Quail 	Perdicula asiatica 		10 	1
Rock Bush Quail 	Perdicula argoondah 		1 	0
Painted Bush Quail 	Perdicula erythrorhyncha 		12 	0
Manipur Bush Quail 	Perdicula manipurensis 		0 	0
Hill Partridge 	Arborophila torqueola 		47 	19
Rufous-throated Partridge 	Arborophila rufogularis 		41 	14
White-cheeked Partridge 	Arborophila atrogularis 		14 	1
Taiwan Partridge 	Arborophila crudigularis 		13 	3
Chestnut-breasted Partridge 	Arborophila mandellii 		12 	2
Bar-backed Partridge 	Arborophila brunneopectus 		12 	0
Sichuan Partridge 	Arborophila rufipectus 		4 	0
White-necklaced Partridge 	Arborophila gingica 		7 	0
Orange-necked Partridge 	Arborophila davidi 		11 	1
Chestnut-headed Partridge 	Arborophila cambodiana 		0 	0
Siamese Partridge 	Arborophila diversa 		3 	0
Malaysian Partridge 	Arborophila campbelli 		21 	2
Roll's Partridge 	Arborophila rolli 		9 	0
Sumatran Partridge 	Arborophila sumatrana 		1 	0
Grey-breasted Partridge 	Arborophila orientalis 		31 	0
Chestnut-bellied Partridge 	Arborophila javanica 		22 	0
Red-billed Partridge 	Arborophila rubrirostris 		7 	0
