Common name 	Scientific name 	Status 	No. 	No. Back
Common Ostrich 	Struthio camelus 		5 	0
Southern Brown Kiwi 	Apteryx australis 		3 	0
North Island Brown Kiwi 	Apteryx mantelli 		17 	0
Okarito Kiwi 	Apteryx rowi 		5 	0
Little Spotted Kiwi 	Apteryx owenii 		6 	0
Great Spotted Kiwi 	Apteryx haastii 		5 	0
Southern Cassowary 	Casuarius casuarius 		20 	0
Dwarf Cassowary 	Casuarius bennetti 		1 	0
Northern Cassowary 	Casuarius unappendiculatus 		6 	1
Emu 	Dromaius novaehollandiae 		11 	0
Magpie Goose 	Anseranas semipalmata 		14 	12
Spotted Whistling Duck 	Dendrocygna guttata 		6 	2
Plumed Whistling Duck 	Dendrocygna eytoni 		11 	5
Wandering Whistling Duck 	Dendrocygna arcuata 		19 	6
Cape Barren Goose 	Cereopsis novaehollandiae 		3 	0
Canada Goose 	Branta canadensis 		363 	964
Greylag Goose 	Anser anser 		475 	1378
Black Swan 	Cygnus atratus 		22 	6
Mute Swan 	Cygnus olor 		272 	112
Freckled Duck 	Stictonetta naevosa 		6 	0
Blue Duck 	Hymenolaimus malacorhynchos 		0 	0
Raja Shelduck 	Radjah radjah 		13 	0
Australian Shelduck 	Tadorna tadornoides 		9 	4
Paradise Shelduck 	Tadorna variegata 		16 	8
Pink-eared Duck 	Malacorhynchus membranaceus 		6 	2
Salvadori's Teal 	Salvadorina waigiuensis 		2 	0
Muscovy Duck 	Cairina moschata 		27 	4
Maned Duck 	Chenonetta jubata 		12 	7
Cotton Pygmy Goose 	Nettapus coromandelianus 		6 	1
Green Pygmy Goose 	Nettapus pulchellus 		3 	0
Garganey 	Spatula querquedula 		97 	22
Australasian Shoveler 	Spatula rhynchotis 		1 	0
Northern Shoveler 	Spatula clypeata 		108 	141
Eurasian Wigeon 	Mareca penelope 		259 	165
Pacific Black Duck 	Anas superciliosa 		15 	4
Mallard 	Anas platyrhynchos 		561 	1174
Northern Pintail 	Anas acuta 		80 	76
Sunda Teal 	Anas gibberifrons 		8 	0
Grey Teal 	Anas gracilis 		14 	3
Chestnut Teal 	Anas castanea 		4 	0
Brown Teal 	Anas chlorotis 		2 	0
Auckland Teal 	Anas aucklandica 		0 	0
Campbell Teal 	Anas nesiotis 		4 	0
Hardhead 	Aythya australis 		1 	0
New Zealand Scaup 	Aythya novaeseelandiae 		1 	0
Blue-billed Duck 	Oxyura australis 		0 	0
Musk Duck 	Biziura lobata 		9 	0
Australian Brushturkey 	Alectura lathami 		21 	8
Wattled Brushturkey 	Aepypodius arfakianus 		1 	0
Waigeo Brushturkey 	Aepypodius bruijnii 		0 	0
Red-billed Brushturkey 	Talegalla cuvieri 		4 	1
Black-billed Brushturkey 	Talegalla fuscirostris 		19 	1
Collared Brushturkey 	Talegalla jobiensis 		18 	3
Malleefowl 	Leipoa ocellata 		1 	0
Maleo 	Macrocephalon maleo 		7 	1
Philippine Megapode 	Megapodius cumingii 		15 	5
Melanesian Megapode 	Megapodius eremita 		12 	2
New Guinea Scrubfowl 	Megapodius decollatus 		6 	0
Orange-footed Scrubfowl 	Megapodius reinwardt 		52 	26
Helmeted Guineafowl 	Numida meleagris 		87 	108
California Quail 	Callipepla californica 		140 	205
Northern Bobwhite 	Colinus virginianus 		89 	88
Singing Quail 	Dactylortyx thoracicus 		35 	12
Wild Turkey 	Meleagris gallopavo 		78 	86
Chukar Partridge 	Alectoris chukar 		51 	26
Red-legged Partridge 	Alectoris rufa 		212 	1114
Grey Partridge 	Perdix perdix 		237 	49
Brown Quail 	Coturnix ypsilophora 		11 	1
King Quail 	Excalfactoria chinensis 		7 	0
Snow Mountain Quail 	Anurophasis monorthonyx 		3 	0
Red Junglefowl 	Gallus gallus 		102 	614
Common Pheasant 	Phasianus colchicus 		390 	4895
Golden Pheasant 	Chrysolophus pictus 		16 	2
Indian Peafowl 	Pavo cristatus 		66 	56
King Penguin 	Aptenodytes patagonicus 		35 	12
Emperor Penguin 	Aptenodytes forsteri 		3 	0
Gentoo Penguin 	Pygoscelis papua 		19 	4
Adelie Penguin 	Pygoscelis adeliae 		18 	0
Chinstrap Penguin 	Pygoscelis antarcticus 		15 	2
Fiordland Penguin 	Eudyptes pachyrhynchus 		2 	0
Snares Penguin 	Eudyptes robustus 		4 	0
Erect-crested Penguin 	Eudyptes sclateri 		2 	0
Southern Rockhopper Penguin 	Eudyptes chrysocome 		12 	2
Royal Penguin 	Eudyptes schlegeli 		10 	0
Macaroni Penguin 	Eudyptes chrysolophus 		3 	0
Yellow-eyed Penguin 	Megadyptes antipodes 		2 	1
Little Penguin 	Eudyptula minor 		13 	2
Magellanic Penguin 	Spheniscus magellanicus 		11 	3
Wilson's Storm Petrel 	Oceanites oceanicus 		3 	0
Grey-backed Storm Petrel 	Garrodia nereis 		0 	0
White-faced Storm Petrel 	Pelagodroma marina 		4 	0
White-bellied Storm Petrel 	Fregetta grallaria 		0 	0
Black-bellied Storm Petrel 	Fregetta tropica 		1 	0
Laysan Albatross 	Phoebastria immutabilis 		143 	91
Wandering Albatross 	Diomedea exulans 		2 	0
Southern Royal Albatross 	Diomedea epomophora 		7 	1
Northern Royal Albatross 	Diomedea sanfordi 		1 	0
Sooty Albatross 	Phoebetria fusca 		0 	0
Light-mantled Albatross 	Phoebetria palpebrata 		5 	1
Black-browed Albatross 	Thalassarche melanophris 		17 	3
Shy Albatross 	Thalassarche cauta 		15 	1
Grey-headed Albatross 	Thalassarche chrysostoma 		0 	0
Indian Yellow-nosed Albatross 	Thalassarche carteri 		1 	0
Buller's Albatross 	Thalassarche bulleri 		2 	3
Swinhoe's Storm Petrel 	Oceanodroma monorhis 		6 	0
Leach's Storm Petrel 	Oceanodroma leucorhoa 		10 	0
Tristram's Storm Petrel 	Oceanodroma tristrami 		1 	0
Matsudaira's Storm Petrel 	Oceanodroma matsudairae 		0 	0
Southern Giant Petrel 	Macronectes giganteus 		1 	1
Northern Giant Petrel 	Macronectes halli 		9 	4
Southern Fulmar 	Fulmarus glacialoides 		1 	0
Antarctic Petrel 	Thalassoica antarctica 		3 	0
Cape Petrel 	Daption capense 		10 	13
Snow Petrel 	Pagodroma nivea 		1 	0
Blue Petrel 	Halobaena caerulea 		2 	0
Broad-billed Prion 	Pachyptila vittata 		4 	1
Salvin's Prion 	Pachyptila salvini 		0 	0
Antarctic Prion 	Pachyptila desolata 		2 	0
Slender-billed Prion 	Pachyptila belcheri 		1 	0
Fairy Prion 	Pachyptila turtur 		6 	1
Fulmar Prion 	Pachyptila crassirostris 		2 	0
Kerguelen Petrel 	Aphrodroma brevirostris 		2 	0
Great-winged Petrel 	Pterodroma macroptera 		0 	0
White-headed Petrel 	Pterodroma lessonii 		2 	0
Providence Petrel 	Pterodroma solandri 		2 	0
Magenta Petrel 	Pterodroma magentae 		4 	0
Soft-plumaged Petrel 	Pterodroma mollis 		1 	1
Juan Fernandez Petrel 	Pterodroma externa 		0 	0
Kermadec Petrel 	Pterodroma neglecta 		3 	1
Herald Petrel 	Pterodroma heraldica 		12 	0
Phoenix Petrel 	Pterodroma alba 		1 	0
Barau's Petrel 	Pterodroma baraui 		4 	0
Mottled Petrel 	Pterodroma inexpectata 		1 	0
White-necked Petrel 	Pterodroma cervicalis 		2 	0
Black-winged Petrel 	Pterodroma nigripennis 		4 	1
Chatham Petrel 	Pterodroma axillaris 		2 	0
Gould's Petrel 	Pterodroma leucoptera 		1 	0
Cook's Petrel 	Pterodroma cookii 		3 	0
Stejneger's Petrel 	Pterodroma longirostris 		0 	0
Pycroft's Petrel 	Pterodroma pycrofti 		0 	0
Tahiti Petrel 	Pseudobulweria rostrata 		2 	0
Grey Petrel 	Procellaria cinerea 		2 	0
White-chinned Petrel 	Procellaria aequinoctialis 		9 	0
Black Petrel 	Procellaria parkinsoni 		2 	0
Westland Petrel 	Procellaria westlandica 		3 	0
Streaked Shearwater 	Calonectris leucomelas 		0 	0
Cory's Shearwater 	Calonectris borealis 		60 	9
Wedge-tailed Shearwater 	Ardenna pacifica 		26 	1
Buller's Shearwater 	Ardenna bulleri 		0 	0
Sooty Shearwater 	Ardenna grisea 		12 	2
Short-tailed Shearwater 	Ardenna tenuirostris 		3 	0
Pink-footed Shearwater 	Ardenna creatopus 		17 	1
Flesh-footed Shearwater 	Ardenna carneipes 		9 	0
Great Shearwater 	Ardenna gravis 		1 	1
Christmas Shearwater 	Puffinus nativitatis 		4 	0
Manx Shearwater 	Puffinus puffinus 		146 	4
Townsend's Shearwater 	Puffinus auricularis 		0 	0
Fluttering Shearwater 	Puffinus gavia 		2 	1
Hutton's Shearwater 	Puffinus huttoni 		1 	0
Audubon's Shearwater 	Puffinus lherminieri 		2 	0
Tropical Shearwater 	Puffinus bailloni 		3 	0
Heinroth's Shearwater 	Puffinus heinrothi 		0 	0
Little Shearwater 	Puffinus assimilis 		0 	0
South Georgia Diving Petrel 	Pelecanoides georgicus 		1 	0
Common Diving Petrel 	Pelecanoides urinatrix 		3 	0
Bulwer's Petrel 	Bulweria bulwerii 		5 	0
Jouanin's Petrel 	Bulweria fallax 		0 	0
Little Grebe 	Tachybaptus ruficollis 		628 	459
Australasian Grebe 	Tachybaptus novaehollandiae 		8 	1
Hoary-headed Grebe 	Poliocephalus poliocephalus 		1 	0
New Zealand Grebe 	Poliocephalus rufopectus 		0 	0
Great Crested Grebe 	Podiceps cristatus 		205 	159
Black-necked Grebe 	Podiceps nigricollis 		60 	22
Red-tailed Tropicbird 	Phaethon rubricauda 		31 	35
White-tailed Tropicbird 	Phaethon lepturus 		21 	0
Woolly-necked Stork 	Ciconia episcopus 		0 	0
Black-necked Stork 	Ephippiorhynchus asiaticus 		0 	0
Australian White Ibis 	Threskiornis molucca 		10 	6
Straw-necked Ibis 	Threskiornis spinicollis 		4 	0
Glossy Ibis 	Plegadis falcinellus 		67 	29
Royal Spoonbill 	Platalea regia 		1 	0
Yellow-billed Spoonbill 	Platalea flavipes 		0 	0
Forest Bittern 	Zonerodius heliosylus 		0 	0
Australasian Bittern 	Botaurus poiciloptilus 		4 	1
Little Bittern 	Ixobrychus minutus 		253 	33
Yellow Bittern 	Ixobrychus sinensis 		13 	0
Cinnamon Bittern 	Ixobrychus cinnamomeus 		7 	2
Black Bittern 	Dupetor flavicollis 		11 	0
Japanese Night Heron 	Gorsachius goisagi 		9 	0
Black-crowned Night Heron 	Nycticorax nycticorax 		431 	90
Nankeen Night Heron 	Nycticorax caledonicus 		17 	1
Striated Heron 	Butorides striata 		125 	20
Chinese Pond Heron 	Ardeola bacchus 		19 	0
Javan Pond Heron 	Ardeola speciosa 		2 	3
Eastern Cattle Egret 	Bubulcus coromandus 		8 	0
White-necked Heron 	Ardea pacifica 		5 	2
Great-billed Heron 	Ardea sumatrana 		10 	0
Purple Heron 	Ardea purpurea 		106 	37
Great Egret 	Ardea alba 		240 	69
Pied Heron 	Egretta picata 		4 	0
White-faced Heron 	Egretta novaehollandiae 		9 	0
Little Egret 	Egretta garzetta 		247 	91
Western Reef Heron 	Egretta gularis 		16 	10
Pacific Reef Heron 	Egretta sacra 		7 	0
Australian Pelican 	Pelecanus conspicillatus 		6 	1
Christmas Frigatebird 	Fregata andrewsi 		3 	0
Great Frigatebird 	Fregata minor 		25 	2
Lesser Frigatebird 	Fregata ariel 		0 	0
Cape Gannet 	Morus capensis 		11 	1
Australasian Gannet 	Morus serrator 		4 	0
Abbott's Booby 	Papasula abbotti 		4 	0
Masked Booby 	Sula dactylatra 		29 	0
Red-footed Booby 	Sula sula 		43 	9
Brown Booby 	Sula leucogaster 		15 	1
Little Pied Cormorant 	Microcarbo melanoleucos 		1 	0
Little Cormorant 	Microcarbo niger 		4 	1
Spotted Shag 	Phalacrocorax punctatus 		1 	0
Pitt Shag 	Phalacrocorax featherstoni 		1 	0
Black-faced Cormorant 	Phalacrocorax fuscescens 		2 	0
Little Black Cormorant 	Phalacrocorax sulcirostris 		3 	0
Australian Pied Cormorant 	Phalacrocorax varius 		1 	0
Great Cormorant 	Phalacrocorax carbo 		111 	121
Imperial Shag 	Leucocarbo atriceps 		6 	0
New Zealand King Shag 	Leucocarbo carunculatus 		0 	0
Otago Shag 	Leucocarbo chalconotus 		1 	1
Chatham Shag 	Leucocarbo onslowi 		0 	0
Campbell Shag 	Leucocarbo campbelli 		0 	0
Auckland Shag 	Leucocarbo colensoi 		1 	0
Bounty Shag 	Leucocarbo ranfurlyi 		0 	0
Australasian Darter 	Anhinga novaehollandiae 		11 	5
Eastern Osprey 	Pandion cristatus 		7 	0
Black-winged Kite 	Elanus caeruleus 		242 	18
Black-shouldered Kite 	Elanus axillaris 		5 	0
Letter-winged Kite 	Elanus scriptus 		0 	0
Crested Honey Buzzard 	Pernis ptilorhynchus 		92 	8
Barred Honey Buzzard 	Pernis celebensis 		1 	0
Square-tailed Kite 	Lophoictinia isura 		1 	0
Black-breasted Buzzard 	Hamirostra melanosternon 		0 	0
Jerdon's Baza 	Aviceda jerdoni 		11 	0
Pacific Baza 	Aviceda subcristata 		19 	1
Long-tailed Honey Buzzard 	Henicopernis longicauda 		0 	0
Black Honey Buzzard 	Henicopernis infuscatus 		0 	0
Mountain Serpent Eagle 	Spilornis kinabaluensis 		9 	0
Sulawesi Serpent Eagle 	Spilornis rufipectus 		12 	0
Bat Hawk 	Macheiramphus alcinus 		8 	0
Papuan Eagle 	Harpyopsis novaeguineae 		15 	4
Sulawesi Hawk-Eagle 	Nisaetus lanceolatus 		12 	0
Rufous-bellied Eagle 	Lophotriorchis kienerii 		4 	0
Black Eagle 	Ictinaetus malaiensis 		6 	0
Little Eagle 	Hieraaetus morphnoides 		4 	0
Gurney's Eagle 	Aquila gurneyi 		1 	0
Wedge-tailed Eagle 	Aquila audax 		2 	0
Chestnut-shouldered Goshawk 	Erythrotriorchis buergersi 		0 	0
Red Goshawk 	Erythrotriorchis radiatus 		1 	0
Doria's Goshawk 	Megatriorchis doriae 		2 	0
Sulawesi Goshawk 	Accipiter griseiceps 		0 	0
Chinese Sparrowhawk 	Accipiter soloensis 		4 	0
Spot-tailed Sparrowhawk 	Accipiter trinotatus 		22 	0
Grey Goshawk 	Accipiter novaehollandiae 		13 	0
Variable Goshawk 	Accipiter hiogaster 		44 	3
Brown Goshawk 	Accipiter fasciatus 		17 	1
Black-mantled Goshawk 	Accipiter melanochlamys 		2 	0
Pied Goshawk 	Accipiter albogularis 		5 	0
Slaty-mantled Goshawk 	Accipiter luteoschistaceus 		0 	0
Imitator Goshawk 	Accipiter imitator 		0 	0
Grey-headed Goshawk 	Accipiter poliocephalus 		1 	0
New Britain Goshawk 	Accipiter princeps 		0 	0
Japanese Sparrowhawk 	Accipiter gularis 		28 	1
Dwarf Sparrowhawk 	Accipiter nanus 		4 	0
Collared Sparrowhawk 	Accipiter cirrocephalus 		7 	0
New Britain Sparrowhawk 	Accipiter brachyurus 		0 	0
Vinous-breasted Sparrowhawk 	Accipiter rhodogaster 		4 	0
Meyer's Goshawk 	Accipiter meyerianus 		0 	0
Eastern Marsh Harrier 	Circus spilonotus 		22 	0
Swamp Harrier 	Circus approximans 		8 	0
Spotted Harrier 	Circus assimilis 		1 	0
Pied Harrier 	Circus melanoleucos 		1 	0
Black Kite 	Milvus migrans 		197 	150
Whistling Kite 	Haliastur sphenurus 		18 	14
Brahminy Kite 	Haliastur indus 		41 	8
White-bellied Sea Eagle 	Haliaeetus leucogaster 		31 	3
Sanford's Sea Eagle 	Haliaeetus sanfordi 		1 	1
Lesser Fish Eagle 	Haliaeetus humilis 		9 	0
Rufous-winged Buzzard 	Butastur liventer 		4 	1
Grey-faced Buzzard 	Butastur indicus 		35 	1
Australian Bustard 	Ardeotis australis 		1 	0
