Common name 	Scientific name 	Status 	No. 	No. Back
White-faced Whistling Duck 	Dendrocygna viduata 		113 	33
Brant Goose 	Branta bernicla 		126 	23
Red-breasted Goose 	Branta ruficollis 		6 	1
Canada Goose 	Branta canadensis 		363 	964
Barnacle Goose 	Branta leucopsis 		234 	114
Cackling Goose 	Branta hutchinsii 		46 	17
Bar-headed Goose 	Anser indicus 		35 	18
Emperor Goose 	Anser canagicus 		7 	0
Ross's Goose 	Anser rossii 		33 	2
Snow Goose 	Anser caerulescens 		110 	43
Greylag Goose 	Anser anser 		475 	1378
Swan Goose 	Anser cygnoides 		24 	16
Taiga Bean Goose 	Anser fabalis 		87 	21
Pink-footed Goose 	Anser brachyrhynchus 		227 	67
Tundra Bean Goose 	Anser serrirostris 		56 	26
Greater White-fronted Goose 	Anser albifrons 		257 	116
Lesser White-fronted Goose 	Anser erythropus 		18 	1
Black Swan 	Cygnus atratus 		22 	6
Mute Swan 	Cygnus olor 		272 	112
Tundra Swan 	Cygnus columbianus 		113 	40
Whooper Swan 	Cygnus cygnus 		327 	208
Egyptian Goose 	Alopochen aegyptiaca 		160 	129
Upland Goose 	Chloephaga picta 		27 	1
Common Shelduck 	Tadorna tadorna 		197 	188
Ruddy Shelduck 	Tadorna ferruginea 		127 	79
South African Shelduck 	Tadorna cana 		20 	9
Muscovy Duck 	Cairina moschata 		27 	4
Wood Duck 	Aix sponsa 		66 	33
Mandarin Duck 	Aix galericulata 		73 	1
Baikal Teal 	Sibirionetta formosa 		5 	0
Garganey 	Spatula querquedula 		97 	22
Blue-winged Teal 	Spatula discors 		76 	20
Northern Shoveler 	Spatula clypeata 		108 	141
Gadwall 	Mareca strepera 		194 	198
Falcated Duck 	Mareca falcata 		20 	7
Eurasian Wigeon 	Mareca penelope 		259 	165
American Wigeon 	Mareca americana 		65 	30
Mallard 	Anas platyrhynchos 		561 	1174
American Black Duck 	Anas rubripes 		16 	2
Cape Teal 	Anas capensis 		4 	0
Northern Pintail 	Anas acuta 		80 	76
Eurasian Teal 	Anas crecca 		328 	230
Green-winged Teal 	Anas carolinensis 		51 	25
Marbled Duck 	Marmaronetta angustirostris 		5 	0
Red-crested Pochard 	Netta rufina 		41 	25
Canvasback 	Aythya valisineria 		10 	1
Redhead 	Aythya americana 		17 	2
Common Pochard 	Aythya ferina 		76 	10
Ferruginous Duck 	Aythya nyroca 		14 	0
Ring-necked Duck 	Aythya collaris 		34 	1
Tufted Duck 	Aythya fuligula 		122 	39
Greater Scaup 	Aythya marila 		22 	0
Lesser Scaup 	Aythya affinis 		8 	1
Steller's Eider 	Polysticta stelleri 		6 	0
King Eider 	Somateria spectabilis 		16 	1
Common Eider 	Somateria mollissima 		102 	72
Harlequin Duck 	Histrionicus histrionicus 		32 	1
Surf Scoter 	Melanitta perspicillata 		20 	1
Velvet Scoter 	Melanitta fusca 		19 	4
White-winged Scoter 	Melanitta deglandi 		1 	0
Common Scoter 	Melanitta nigra 		167 	12
Black Scoter 	Melanitta americana 		26 	10
Long-tailed Duck 	Clangula hyemalis 		95 	34
Bufflehead 	Bucephala albeola 		17 	0
Common Goldeneye 	Bucephala clangula 		132 	43
Barrow's Goldeneye 	Bucephala islandica 		35 	1
Smew 	Mergellus albellus 		16 	1
Hooded Merganser 	Lophodytes cucullatus 		26 	6
Common Merganser 	Mergus merganser 		124 	15
Red-breasted Merganser 	Mergus serrator 		49 	14
Ruddy Duck 	Oxyura jamaicensis 		30 	10
White-headed Duck 	Oxyura leucocephala 		5 	3
California Quail 	Callipepla californica 		140 	205
Hazel Grouse 	Tetrastes bonasia 		174 	16
Western Capercaillie 	Tetrao urogallus 		80 	7
Black Grouse 	Lyrurus tetrix 		141 	140
Caucasian Grouse 	Lyrurus mlokosiewiczi 		1 	0
Rock Ptarmigan 	Lagopus muta 		56 	9
Willow Ptarmigan 	Lagopus lagopus 		99 	54
Caspian Snowcock 	Tetraogallus caspius 		12 	1
Chukar Partridge 	Alectoris chukar 		51 	26
Barbary Partridge 	Alectoris barbara 		17 	0
Red-legged Partridge 	Alectoris rufa 		212 	1114
See-see Partridge 	Ammoperdix griseogularis 		3 	1
Black Francolin 	Francolinus francolinus 		56 	15
Grey Partridge 	Perdix perdix 		237 	49
Daurian Partridge 	Perdix dauurica 		4 	0
Common Quail 	Coturnix coturnix 		481 	196
Reeves's Pheasant 	Syrmaticus reevesii 		13 	0
Common Pheasant 	Phasianus colchicus 		390 	4895
Golden Pheasant 	Chrysolophus pictus 		16 	2
Lady Amherst's Pheasant 	Chrysolophus amherstiae 		18 	3
Red-throated Loon 	Gavia stellata 		172 	25
