common name,scientific name,extinct,forefront recs,background recs,africa,americas,asia,australasia,europe
Common Ostrich ,Struthio camelus ,False,5,0,True,False,False,True,False
Somali Ostrich ,Struthio molybdophanes ,False,1,0,True,False,False,False,False
Greater Rhea ,Rhea americana ,False,22,1,False,True,False,False,False
Lesser Rhea ,Rhea pennata ,False,4,0,False,True,False,False,False
Southern Brown Kiwi ,Apteryx australis ,False,3,0,False,False,False,True,False
North Island Brown Kiwi ,Apteryx mantelli ,False,17,0,False,False,False,True,False
Okarito Kiwi ,Apteryx rowi ,False,5,0,False,False,False,True,False
Little Spotted Kiwi ,Apteryx owenii ,False,6,0,False,False,False,True,False
Great Spotted Kiwi ,Apteryx haastii ,False,5,0,False,False,False,True,False
Southern Cassowary ,Casuarius casuarius ,False,20,0,False,False,True,True,False
Dwarf Cassowary ,Casuarius bennetti ,False,1,0,False,False,True,True,False
Northern Cassowary ,Casuarius unappendiculatus ,False,6,1,False,False,True,True,False
Emu ,Dromaius novaehollandiae ,False,11,0,False,False,False,True,False
Grey Tinamou ,Tinamus tao ,False,55,82,False,True,False,False,False
Solitary Tinamou ,Tinamus solitarius ,False,56,41,False,True,False,False,False
Black Tinamou ,Tinamus osgoodi ,False,11,1,False,True,False,False,False
Great Tinamou ,Tinamus major ,False,108,265,False,True,False,False,False
White-throated Tinamou ,Tinamus guttatus ,False,47,367,False,True,False,False,False
Highland Tinamou ,Nothocercus bonapartei ,False,40,17,False,True,False,False,False
Tawny-breasted Tinamou ,Nothocercus julius ,False,50,9,False,True,False,False,False
Hooded Tinamou ,Nothocercus nigrocapillus ,False,14,5,False,True,False,False,False
Berlepsch's Tinamou ,Crypturellus berlepschi ,False,9,0,False,True,False,False,False
Cinereous Tinamou ,Crypturellus cinereus ,False,220,292,False,True,False,False,False
Little Tinamou ,Crypturellus soui ,False,317,432,False,True,False,False,False
Tepui Tinamou ,Crypturellus ptaritepui ,False,2,0,False,True,False,False,False
Brown Tinamou ,Crypturellus obsoletus ,False,181,166,False,True,False,False,False
Undulated Tinamou ,Crypturellus undulatus ,False,170,708,False,True,False,False,False
Pale-browed Tinamou ,Crypturellus transfasciatus ,False,31,130,False,True,False,False,False
Brazilian Tinamou ,Crypturellus strigulosus ,False,64,140,False,True,False,False,False
Grey-legged Tinamou ,Crypturellus duidae ,False,11,5,False,True,False,False,False
Red-legged Tinamou ,Crypturellus erythropus ,False,32,12,False,True,False,False,False
Yellow-legged Tinamou ,Crypturellus noctivagus ,False,43,69,False,True,False,False,False
Black-capped Tinamou ,Crypturellus atrocapillus ,False,29,46,False,True,False,False,False
Thicket Tinamou ,Crypturellus cinnamomeus ,False,46,38,False,True,False,False,False
Slaty-breasted Tinamou ,Crypturellus boucardi ,False,23,18,False,True,False,False,False
Choco Tinamou ,Crypturellus kerriae ,False,7,0,False,True,False,False,False
Variegated Tinamou ,Crypturellus variegatus ,False,71,95,False,True,False,False,False
Rusty Tinamou ,Crypturellus brevirostris ,False,7,0,False,True,False,False,False
